,measure,value,value,value,value,value,value,value,value,value,value
66,MISE.mu.kde.gl.SURE,0.0034507423,0.0025070386,0.0016553516,0.0012111412,0.0010171306,0.0009595315,0.0008274074,0.000763905,0.0007059813,0.0005764712
67,MISE.mu.kde.gl.dynamic,0.0034609259,0.0025121777,0.0016319091,0.0012246137,0.0009963585,0.000959484,0.0008266161,0.0007652271,0.0006903085,0.0005717571
68,MISE.mu.kde.gl.dynamicMin,0.003435715,0.0025177321,0.0016272734,0.001225035,0.0009954028,0.0009610265,0.0008254898,0.0007671405,0.0006898318,0.0005745767
69,MISE.mu.kde.gl.dynamicMin2,0.0034338918,0.0025132916,0.0016270002,0.0012203266,0.0009982312,0.0009599574,0.0008249668,0.0007669176,0.000689908,0.0005735717
70,MISE.mu.kde.gl.dynamicMin3,0.0034313626,0.0025105945,0.001626743,0.0012200101,0.0009989308,0.000960984,0.0008255719,0.0007654723,0.0006904846,0.0005736988
71,MISE.mu.kde.SURE.G.Double,0.0034260627,0.0024872705,0.0016230336,0.0012216911,0.0009963205,0.0009567693,0.0008274808,0.0007623169,0.000693238,0.0005712461
72,MISE.mu.kde.SURE.M.Double,0.0034264904,0.0024867773,0.0016230258,0.0012216294,0.0009963396,0.0009567531,0.0008274814,0.0007622505,0.0006933119,0.0005712574
73,MISE.mu.kde.SURE.SG.Double,0.0034260659,0.0024872714,0.0016230343,0.0012216901,0.0009963195,0.0009567691,0.0008274793,0.0007623148,0.0006932384,0.0005712455
74,MISE.mu.kde.SURE.SM.Double,0.0034264984,0.0024867704,0.0016230235,0.0012216291,0.0009963389,0.0009567532,0.000827481,0.0007622501,0.0006933114,0.0005712572
75,MISE.mu.abhra,0.0021018554,0.0010742827,0.0006368352,0.000429189,0.0003328778,0.0003222459,0.0003025242,0.0002393189,0.0002461287,0.0001942354
76,MISE.mu.kde.DPMM,0.0034666162,0.0025132515,0.0016705084,0.0012534612,0.0010329296,0.0010171712,0.0009074801,0.0008031906,0.0007431426,0.0006176126
77,MISE.mu.DPMM,0.0020643472,0.0012499676,0.0009553229,0.0007178055,0.0006704653,0.0007378643,0.0006546106,0.0005194121,0.000612234,0.0005396424
78,MISE.mu.kde.DPMM_ng,0.0034716151,0.0025236622,0.001669731,0.0012486609,0.0010224956,0.0010072704,0.0008967221,0.0008029889,0.0007399751,0.0006059353
79,MISE.mu.DPMM_ng,0.00204122,0.0012675619,0.0009502791,0.0007264053,0.0006472266,0.0006701086,0.0006444684,0.0005469948,0.000631044,0.0004861245
80,MISE.sigma2.kde.true,0.6266285301,0.5788729678,0.5552772004,0.5433643307,0.5314128766,0.5228724347,0.5164349162,0.5128197567,0.5080502363,0.506744446
81,MISE.sigma2.kde.sample.est,0.8742931773,0.8605897323,0.8654344157,0.868136727,0.8646755139,0.8653603477,0.8654713698,0.8654797646,0.8655497703,0.8692311456
82,MISE.sigma2.kde.SURE.G.Double,0.5286190937,0.4846791982,0.4775612317,0.4861091195,0.4684166682,0.4642733153,0.4653369649,0.4701018779,0.4754620856,0.4655891267
83,MISE.sigma2.kde.SURE.M.Double,0.5286188772,0.4846788411,0.4775614778,0.4861095247,0.4684162905,0.4642734374,0.4653371343,0.4701026694,0.4754621864,0.4655873774
84,MISE.sigma2.kde.SURE.SG.Double,0.528621824,0.4846408352,0.4775101917,0.4860544955,0.4683576799,0.4642242039,0.465276948,0.4700517298,0.4753904075,0.4655342027
85,MISE.sigma2.kde.SURE.SM.Double,19.2275495657,2.7497008139,2.1034617802,2.0765493123,2.0043605476,1.8479800382,1.9097343455,1.7986079502,1.943501943,1.7441132337
86,MISE.sigma2.kde.DPMM,0.57574048,0.5019202222,0.4840722068,0.4866239256,0.4666959584,0.4613394994,0.4611202851,0.4653229047,0.4645828892,0.4589732852
87,MISE.sigma2.DPMM,0.07182493,0.0413283437,0.0368514063,0.031415558,0.0267924777,0.0273250022,0.0248717126,0.0192923699,0.0213233016,0.0189040174
88,MISE.sigma2.kde.DPMM_ng,0.448134109,0.3763318912,0.3540904385,0.3500085149,0.3338756477,0.3307105749,0.3285348572,0.3258201876,0.3204376993,0.3219117973
89,MISE.sigma2.DPMM_ng,0.0717547409,0.0441950249,0.0303407678,0.0313178281,0.0282518852,0.0302059323,0.0344804876,0.0275432087,0.0223428628,0.0325704475
